syllable,start_frame,duration_frames
2,115,5
7,152,31
7,184,10
7,197,19
0,216,31
0,275,15
2,290,16
99,306,8
9,314,15
9,334,7
9,348,19
23,405,9
23,416,11
0,432,16
11,508,5
0,523,5
6,624,13
6,651,5
3,667,10
0,677,28
0,715,4
0,721,20
2,741,6
2,756,24
11,820,6
3,875,5
3,882,6
3,894,15
2,922,6
13,928,5
7,933,77
7,1013,63
7,1079,8
1,1087,44
19,1131,4
1,1135,28
7,1163,62
1,1225,16
9,1241,7
1,1248,42
9,1290,49
1,1339,28
7,1367,38
1,1405,94
7,1499,17
1,1516,4
2,1520,42
5,1562,3
2,1565,4
2,1579,6
3,1585,3
7,1588,26
0,1614,8
8,1622,14
8,1647,10
13,1657,3
7,1660,39
1,1699,14
0,1713,18
0,1746,3
0,1764,4
3,1768,3
8,1779,92
1,1871,9
8,1886,40
3,1931,5
4,1938,5
3,1943,18
9,1961,14
9,1978,68
2,2046,19
1,2065,30
7,2095,55
8,2150,8
1,2158,18
1,2188,3
2,2191,15
1,2219,13
7,2238,76
3,2317,5
7,2747,11
7,2762,12
3,2775,8
8,2794,9
0,2803,19
0,2823,27
0,2855,4
8,2859,20
8,2880,8
2,2897,4
2,2903,5
2,2958,23
6,2981,26
6,3008,76
6,3086,37
3,3123,6
1,3135,25
3,3160,7
0,3170,8
0,3183,3
2,3234,14
2,3252,6
2,3271,5
3,3308,6
3,3316,5
13,3324,9
0,3333,16
1,3349,55
7,3404,19
7,3427,57
13,3484,14
0,3498,52
3,3550,8
0,3558,35
1,3593,36
3,3629,5
6,3634,40
2,3674,28
1,3702,19
2,3721,37
6,3758,23
3,3781,11
9,3792,39
2,3831,26
9,3862,6
1,3890,7
1,3902,12
2,3922,3
2,3941,10
9,3977,6
9,3985,21
9,4008,3
3,4011,17
0,4031,5
7,4082,25
7,4115,13
15,4138,19
15,4161,32
2,4193,16
3,4209,7
2,4231,25
0,4256,16
2,4272,10
7,4288,33
8,4321,32
6,4353,95
13,4448,6
7,4454,7
13,4461,10
0,4471,6
2,4477,11
6,4501,21
3,4522,5
1,4527,225
3,4752,5
1,4757,16
8,4773,9
1,4782,82
0,4864,17
1,4881,71
2,4952,8
14,4960,103
8,5063,11
14,5074,63
14,5140,346
2,5486,7
14,5493,116
2,5609,7
14,5616,191
2,5807,4
1,5811,125
2,5936,6
1,5942,17
2,5959,5
1,5964,69
6,6033,15
2,6048,13
14,6061,141
2,6202,7
1,6209,15
2,6224,5
14,6229,1142
16,7371,6
1,7377,36
2,7413,4
0,7417,23
3,7440,23
5,7463,3
2,7466,38
0,7504,4
2,7508,13
1,7549,37
13,7586,7
7,7593,59
2,7652,4
0,7676,17
9,7693,24
13,7717,4
2,7721,11
6,7732,57
0,7789,29
1,7818,33
0,7851,13
1,7864,85
2,7949,4
1,7953,56
0,8009,3
1,8012,22
8,8034,7
1,8041,181
3,8222,4
1,8226,44
0,8270,17
3,8287,6
1,8293,181
2,8474,4
1,8478,262
2,8740,8
1,8748,91
3,8839,6
1,8845,41
2,8886,16
0,8902,3
1,8905,75
0,8980,59
1,9039,23
3,9062,5
1,9067,19
0,9086,4
1,9090,70
8,9160,14
3,9174,3
0,9177,55
2,9232,11
1,9243,9
3,9252,3
8,9255,17
0,9272,11
4,9283,3
0,9286,35
3,9321,11
