syllable,start_frame,duration_frames
5,115,5
2,152,18
26,170,13
26,184,10
26,197,50
2,275,6
0,281,23
1,304,19
0,323,6
0,334,7
0,348,4
18,352,4
0,356,11
0,405,9
0,416,11
14,432,16
0,508,5
99,523,5
12,624,13
0,651,5
13,667,9
0,676,29
0,715,4
0,721,26
0,756,8
11,764,16
3,820,3
1,823,3
1,875,5
1,882,6
3,894,5
6,899,3
1,902,7
1,922,9
0,931,79
1,1013,5
2,1018,17
26,1035,30
0,1065,11
0,1079,60
1,1139,5
2,1144,18
12,1162,60
2,1222,20
1,1242,3
2,1245,85
11,1330,9
5,1339,27
1,1366,3
0,1369,55
1,1424,5
2,1429,9
1,1438,4
5,1442,40
12,1482,79
0,1561,8
11,1579,57
11,1647,27
0,1674,50
11,1724,7
11,1746,3
11,1764,7
0,1779,101
0,1886,40
3,1931,5
3,1938,11
1,1949,11
10,1960,15
10,1978,109
11,2087,9
2,2096,35
11,2131,45
11,2188,18
11,2219,13
11,2238,76
3,2317,5
3,2747,5
11,2752,6
11,2762,12
11,2775,8
3,2794,4
12,2798,24
12,2823,27
12,2855,13
1,2868,11
1,2880,8
1,2897,4
1,2903,5
1,2958,19
0,2977,30
0,3008,76
0,3086,13
3,3099,3
0,3102,14
11,3116,13
11,3135,32
11,3170,8
11,3183,3
1,3234,10
14,3244,4
14,3252,6
14,3271,5
1,3308,6
1,3316,5
3,3324,12
14,3336,47
5,3383,40
5,3427,3
16,3430,50
18,3480,15
0,3495,13
5,3508,14
13,3522,5
0,3527,66
2,3593,35
11,3628,21
2,3649,18
1,3667,23
0,3690,39
1,3729,13
2,3742,40
1,3782,75
1,3862,6
0,3890,7
0,3902,12
13,3922,3
12,3941,10
1,3977,6
1,3985,8
0,3993,13
99,4008,11
0,4019,6
13,4025,3
13,4031,5
3,4082,6
11,4088,19
11,4115,13
14,4138,19
2,4161,46
3,4207,4
1,4211,5
1,4231,51
16,4288,29
1,4317,15
12,4332,130
1,4462,20
9,4482,6
9,4501,8
7,4509,18
5,4527,122
14,4649,8
5,4657,42
0,4699,5
5,4704,30
99,4734,21
0,4755,21
2,4776,49
1,4825,8
5,4833,27
14,4860,15
5,4875,21
14,4896,68
5,4964,145
14,5109,28
5,5140,265
14,5405,64
5,5469,78
2,5547,14
16,5561,6
5,5567,128
1,5695,5
5,5700,43
14,5743,14
5,5757,32
16,5789,8
5,5797,232
1,6029,5
14,6034,47
99,6081,1264
5,7345,63
14,7408,16
1,7424,5
5,7429,7
7,7436,20
3,7456,7
18,7463,24
2,7487,17
11,7504,17
11,7549,107
11,7676,13
0,7689,3
6,7692,3
11,7695,23
3,7718,5
0,7723,11
2,7734,48
11,7782,13
2,7795,21
0,7816,17
3,7833,4
0,7837,34
13,7871,3
0,7874,14
1,7888,8
0,7896,28
5,7924,24
1,7948,4
2,7952,59
3,8011,7
11,8018,25
2,8043,102
1,8145,3
5,8148,53
0,8201,22
5,8223,199
0,8422,16
1,8438,4
5,8442,27
1,8469,7
5,8476,40
1,8516,10
5,8526,74
0,8600,13
99,8613,10
0,8623,6
5,8629,32
1,8661,8
0,8669,4
5,8673,69
9,8742,15
5,8757,37
1,8794,3
9,8797,47
0,8844,17
99,8861,3
0,8864,96
5,8960,20
0,8980,16
5,8996,18
0,9014,78
5,9092,35
0,9127,47
99,9174,15
2,9189,22
99,9211,16
0,9227,26
99,9253,14
11,9267,28
0,9295,7
4,9302,5
0,9307,12
3,9319,12
0,9331,158
1,9489,19
0,9518,82
0,9602,17
0,9625,4
7,9639,14
9,9653,41
0,9694,28
2,9722,187
10,9909,91
0,10000,5
1,10005,6
2,10011,1183
10,11194,20
2,11214,28
1,11242,22
9,11264,18
1,11282,8
0,11290,10
1,11300,8
2,11308,29
1,11340,12
1,11360,5
7,11376,60
2,11436,37
7,11473,23
7,11508,38
2,11581,20
2,11603,6
7,11620,16
7,11647,9
7,11686,15
7,11704,7
7,11740,61
7,11806,120
2,11926,22
7,11948,43
2,11991,28
7,12019,17
2,12036,44
23,12080,21
2,12101,19
2,12123,32
26,12155,12
26,12168,19
26,12191,9
2,12200,4
2,12213,13
1,12226,13
5,12239,77
7,12322,7
7,12334,3
7,12340,13
7,12359,35
23,12412,9
2,12436,13
7,12466,25
7,12493,5
7,12502,29
23,12531,3
23,12579,13
23,12633,6
23,12641,5
0,12646,25
23,12671,14
2,12685,33
23,12718,15
23,12734,5
23,12740,4
5,12744,9
5,12755,23
1,12778,6
2,12784,39
1,12823,4
2,12836,12
23,12848,14
23,12863,22
23,12887,5
23,12896,13
23,12922,8
23,12942,3
23,12946,4
23,12963,17
23,12986,4
23,12994,4
23,13019,4
23,13035,9
23,13045,4
23,13061,3
23,13071,12
23,13094,13
0,13107,18
0,13129,11
2,13140,22
1,13162,8
1,13177,4
26,13181,6
26,13203,3
26,13207,3
26,13215,9
26,13233,5
26,13249,6
26,13256,4
26,13306,29
26,13341,3
26,13348,18
2,13366,4
2,13391,9
2,13425,26
2,13470,15
2,13527,7
26,13534,12
2,13564,12
7,13603,45
2,13648,115
2,13769,82
7,13851,44
2,13895,6
2,13902,13
2,13919,10
7,13929,6
7,13936,13
7,13952,10
7,13968,5
2,13973,21
23,13994,8
5,14023,131
23,14154,20
0,14174,59
1,14235,6
1,14242,55
16,14297,20
5,14317,61
14,14378,30
9,14408,52
2,14460,146
16,14606,32
5,14638,21
7,14659,9
2,14668,44
16,14712,21
5,14733,24
16,14757,7
5,14764,241
13,15027,7
0,15038,4
5,15042,9
5,15243,20
14,15263,11
3,15292,3
14,15295,34
14,15368,9
3,15467,11
3,15480,4
10,15485,6
10,15492,5
10,15500,105
2,15605,20
11,15625,41
0,15687,90
1,15777,11
1,15791,25
10,15816,40
1,15856,4
10,15863,59
0,15922,97
1,16019,4
1,16024,10
11,16034,3
11,16041,9
5,16051,15
14,16066,149
0,16215,110
0,16333,9
3,16342,5
0,16351,39
11,16399,36
2,16435,18
11,16453,4
11,16458,12
14,16470,38
0,16508,127
2,16635,134
0,16769,110
0,16885,12
0,16898,16
3,16943,5
13,17011,7
13,17035,3
0,17041,3
0,17047,3
11,17050,18
13,17329,3
13,17558,6
3,17569,5
11,17574,5
11,17586,30
4,17623,6
3,17635,4
0,17639,9
5,17652,12
1,17667,5
7,17686,42
1,17728,20
10,17748,205
17,17953,84
17,18046,36
1,18082,13
2,18095,18
1,18113,6
1,18123,14
2,18137,45
9,18182,90
9,18277,45
5,18322,19
17,18341,12
17,18360,34
17,18396,17
17,18423,14
2,18437,24
10,18461,105
5,18566,63
1,18629,14
2,18643,30
1,18673,8
10,18681,14
17,18695,30
2,18725,84
10,18809,25
2,18834,33
7,18867,30
2,18897,80
1,18977,12
10,18989,40
2,19029,45
1,19074,3
0,19174,60
1,19234,17
10,19251,70
0,19321,34
5,19355,14
1,19369,7
2,19376,29
10,19405,110
1,19515,7
9,19522,18
1,19540,6
2,19546,29
17,19575,9
2,19584,274
5,19858,104
10,19962,8
1,19970,9
5,19979,21
99,20000,7
5,20007,52
1,20059,3
5,20062,99
7,20161,24
5,20185,256
0,20441,29
5,20470,202
7,20672,16
2,20688,78
7,20766,9
2,20775,124
12,20899,64
5,20963,56
1,21019,6
5,21025,40
12,21065,6
2,21071,83
1,21154,5
2,21159,8
2,21173,189
7,21362,7
9,21369,28
1,21397,11
10,21408,82
1,21490,32
0,21522,33
1,21555,11
5,21566,234
1,21800,5
2,21805,40
1,21845,3
2,21848,39
1,21887,6
2,21893,37
1,21930,6
0,21936,51
1,21987,5
2,21992,195
12,22187,37
2,22224,49
12,22273,41
1,22314,37
7,22351,127
2,22478,31
16,22509,55
5,22564,66
14,22630,7
16,22637,41
16,22682,24
5,22706,14
1,22720,9
5,22729,41
16,22770,50
7,22820,73
2,22893,65
7,22958,28
9,22986,21
5,23007,49
11,23056,20
2,23076,38
7,23114,4
5,23118,39
16,23157,64
9,23221,61
5,23282,131
9,23413,38
0,23451,62
1,23513,11
5,23524,65
16,23589,27
5,23616,126
16,23742,33
0,23775,41
18,23816,3
0,23819,7
5,23826,26
16,23852,36
5,23888,46
9,23934,130
1,24064,4
5,24068,8
1,24076,8
5,24084,14
1,24098,8
5,24106,33
12,24139,18
1,24157,4
9,24161,73
0,24234,20
14,24254,50
1,24304,5
2,24309,9
3,24318,3
14,24321,24
1,24345,9
1,24368,7
0,24375,13
3,24401,4
0,24405,16
2,24421,98
1,24519,11
2,24530,24
11,24558,61
11,24625,73
2,24698,32
3,24730,3
0,24733,57
11,24790,15
5,24805,89
14,24894,22
0,24921,8
1,24929,4
1,24934,3
1,24941,4
3,24945,19
11,24964,23
2,24987,101
1,25088,27
2,25115,51
12,25166,31
3,25197,3
0,25200,45
1,25245,6
1,25252,10
2,25262,32
1,25294,4
2,25298,33
11,25331,10
0,25341,28
3,25369,10
0,25379,36
1,25415,34
1,25450,10
10,25460,34
1,25494,40
7,25534,33
5,25567,143
2,25710,347
9,26057,13
5,26070,311
9,26381,49
5,26430,39
7,26469,23
2,26492,31
1,26523,5
5,26528,25
0,26553,16
2,26569,73
9,26642,237
7,26879,113
7,26995,46
2,27041,26
7,27067,53
2,27120,12
10,27132,179
9,27311,47
1,27358,8
2,27366,62
7,27428,30
5,27458,19
7,27477,174
11,27651,4
2,27655,42
10,27697,7
2,27704,66
0,27770,114
5,27884,15
7,27899,99
2,27998,36
7,28034,65
5,28099,19
7,28118,24
9,28142,108
0,28250,17
3,28267,3
2,28270,19
1,28289,6
10,28295,76
10,28377,102
10,28482,33
10,28518,28
1,28546,15
9,28561,14
1,28575,23
0,28598,5
0,28606,7
1,28613,14
0,28633,20
0,28657,4
0,28672,3
0,28681,4
0,28699,7
5,28706,25
12,28731,4
12,28740,6
6,28746,3
7,28749,24
5,28773,20
7,28793,48
5,28841,24
7,28865,14
9,28879,65
5,28944,32
9,28976,40
1,29016,13
7,29029,111
9,29140,22
1,29162,22
1,29191,10
1,29219,3
1,29226,4
17,29230,70
17,29303,20
1,29323,5
2,29328,47
1,29375,13
0,29431,3
7,29434,27
0,29461,6
4,29467,5
0,29472,59
3,29531,6
0,29542,14
99,29556,4
0,29560,56
99,29616,19
0,29635,9
1,29644,8
14,29652,15
0,29667,6
1,29673,9
14,29682,19
0,29722,28
0,29755,2
1,29757,5
0,29762,16
7,29778,46
7,29828,9
3,29837,5
4,29899,3
0,30006,2
99,30008,3
99,30012,5
3,30030,5
0,30035,5
0,30042,4
1,30048,8
1,30163,7
1,30172,14
1,30191,20
1,30233,3
11,30266,28
13,30294,9
11,30573,37
0,30610,28
0,30649,11
0,30667,4
3,30735,2
3,30739,6
12,30787,13
12,30806,9
